starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:58:48 2011	1322704728	0	0	0	0
Wed Nov 30 17:58:48 2011	1322704728	0	0	0	0
Wed Nov 30 17:58:48 2011	1322704728	0	0	0	0
Wed Nov 30 17:58:48 2011	1322704728	0	0	0	0
Wed Nov 30 17:58:48 2011	1322704728	0	0	0	0
Wed Nov 30 17:58:32 2011	1322704712	0	45	45	45
Wed Nov 30 17:53:55 2011	1322704435	0	81	81	81
Wed Nov 30 17:58:33 2011	1322704713	0	87	87	87
Wed Nov 30 17:54:16 2011	1322704456	0	87	87	87
Wed Nov 30 17:58:47 2011	1322704727	0	87	87	87
Wed Nov 30 17:54:03 2011	1322704443	0	87	87	87
Wed Nov 30 17:53:56 2011	1322704436	0	87	87	87
Wed Nov 30 17:58:46 2011	1322704726	0	87	87	87
Wed Nov 30 17:54:02 2011	1322704442	0	87	87	87
Wed Nov 30 17:58:41 2011	1322704721	0	87	87	87
Wed Nov 30 17:58:44 2011	1322704724	0	87	87	87
Wed Nov 30 17:54:06 2011	1322704446	0	87	87	87
Wed Nov 30 17:54:17 2011	1322704457	0	87	88	87
Wed Nov 30 17:58:32 2011	1322704712	0	87	88	87
Wed Nov 30 17:58:33 2011	1322704713	0	88	88	88
Wed Nov 30 17:58:43 2011	1322704723	0	88	88	88
Wed Nov 30 17:54:11 2011	1322704451	0	88	88	88
Wed Nov 30 17:58:43 2011	1322704723	0	88	88	88
Wed Nov 30 17:58:44 2011	1322704724	0	88	88	88
Wed Nov 30 17:58:48 2011	1322704728	0	88	88	88
Wed Nov 30 17:58:39 2011	1322704719	0	88	88	88
Wed Nov 30 17:54:02 2011	1322704442	0	88	88	88
Wed Nov 30 17:53:55 2011	1322704435	0	88	88	88
Wed Nov 30 17:54:09 2011	1322704449	0	88	88	88
Wed Nov 30 17:54:02 2011	1322704442	0	88	88	88
Wed Nov 30 17:58:47 2011	1322704727	0	88	88	88
Wed Nov 30 17:58:39 2011	1322704719	0	88	88	88
Wed Nov 30 17:58:47 2011	1322704727	0	88	88	88
Wed Nov 30 17:54:11 2011	1322704451	0	88	88	88
Wed Nov 30 17:58:42 2011	1322704722	0	88	88	88
Wed Nov 30 17:54:04 2011	1322704444	0	88	88	88
Wed Nov 30 17:58:46 2011	1322704726	0	88	88	88
Wed Nov 30 17:58:41 2011	1322704721	0	88	88	88
Wed Nov 30 17:54:17 2011	1322704457	0	88	88	88
Wed Nov 30 17:53:57 2011	1322704437	0	88	88	88
Wed Nov 30 17:58:43 2011	1322704723	0	88	88	88
Wed Nov 30 17:53:57 2011	1322704437	0	88	88	88
Wed Nov 30 17:58:45 2011	1322704725	0	88	88	88
Wed Nov 30 17:54:14 2011	1322704454	0	88	88	88
Wed Nov 30 17:54:00 2011	1322704440	0	88	88	88
Wed Nov 30 17:54:16 2011	1322704456	0	88	88	88
Wed Nov 30 17:54:15 2011	1322704455	0	88	88	88
Wed Nov 30 17:58:47 2011	1322704727	0	88	88	88
Wed Nov 30 17:58:43 2011	1322704723	0	88	88	88
Wed Nov 30 17:58:39 2011	1322704719	0	88	88	88
Wed Nov 30 17:54:02 2011	1322704442	0	88	88	88
Wed Nov 30 17:58:42 2011	1322704722	0	89	89	89
Wed Nov 30 17:54:17 2011	1322704457	0	89	89	89
Wed Nov 30 17:53:53 2011	1322704433	0	89	89	89
Wed Nov 30 17:58:33 2011	1322704713	0	89	89	89
Wed Nov 30 17:58:42 2011	1322704722	0	89	89	89
Wed Nov 30 17:58:40 2011	1322704720	0	89	89	89
Wed Nov 30 17:54:13 2011	1322704453	0	89	89	89
Wed Nov 30 17:58:40 2011	1322704720	0	89	89	89
Wed Nov 30 17:54:09 2011	1322704449	0	89	89	89
Wed Nov 30 17:53:55 2011	1322704435	0	89	89	89
Wed Nov 30 17:54:00 2011	1322704440	0	89	89	89
Wed Nov 30 17:58:44 2011	1322704724	0	89	89	89
Wed Nov 30 17:53:55 2011	1322704435	0	89	89	89
Wed Nov 30 17:54:17 2011	1322704457	0	89	89	89
Wed Nov 30 17:54:02 2011	1322704442	0	89	89	89
Wed Nov 30 17:58:40 2011	1322704720	0	89	89	89
Wed Nov 30 17:54:07 2011	1322704447	0	90	90	90
Wed Nov 30 17:54:00 2011	1322704440	0	90	90	90
Wed Nov 30 17:58:41 2011	1322704721	0	90	90	90
Wed Nov 30 17:58:36 2011	1322704716	0	90	90	90
Wed Nov 30 17:54:08 2011	1322704448	0	90	90	90
Wed Nov 30 17:58:38 2011	1322704718	0	90	90	90
Wed Nov 30 17:54:05 2011	1322704445	0	90	90	90
Wed Nov 30 17:54:05 2011	1322704445	0	90	90	90
Wed Nov 30 17:58:40 2011	1322704720	0	90	90	90
Wed Nov 30 17:58:45 2011	1322704725	0	90	90	90
Wed Nov 30 17:54:16 2011	1322704456	0	90	90	90
Wed Nov 30 17:58:45 2011	1322704725	0	90	90	90
Wed Nov 30 17:54:01 2011	1322704441	0	90	90	90
Wed Nov 30 17:54:12 2011	1322704452	0	90	90	90
Wed Nov 30 17:58:36 2011	1322704716	0	90	90	90
Wed Nov 30 17:53:54 2011	1322704434	0	90	90	90
Wed Nov 30 17:54:07 2011	1322704447	0	90	90	90
Wed Nov 30 17:58:36 2011	1322704716	0	90	90	90
Wed Nov 30 17:53:59 2011	1322704439	0	91	91	91
Wed Nov 30 17:58:33 2011	1322704713	0	91	91	91
Wed Nov 30 17:53:55 2011	1322704435	0	91	91	91
Wed Nov 30 17:54:05 2011	1322704445	0	91	91	91
Wed Nov 30 17:54:06 2011	1322704446	0	91	91	91
Wed Nov 30 17:58:46 2011	1322704726	0	91	91	91
Wed Nov 30 17:58:34 2011	1322704714	0	91	91	91
Wed Nov 30 17:58:36 2011	1322704716	0	91	91	91
Wed Nov 30 17:54:15 2011	1322704455	0	91	91	91
Wed Nov 30 17:54:10 2011	1322704450	0	91	91	91
Wed Nov 30 17:54:06 2011	1322704446	0	91	91	91
Wed Nov 30 17:54:10 2011	1322704450	0	91	91	91
Wed Nov 30 17:53:54 2011	1322704434	0	91	91	91
Wed Nov 30 17:53:49 2011	1322704429	0	91	91	91
Wed Nov 30 17:58:35 2011	1322704715	0	91	91	91
Wed Nov 30 17:58:37 2011	1322704717	0	91	91	91
Wed Nov 30 17:54:00 2011	1322704440	0	91	91	91
Wed Nov 30 17:54:00 2011	1322704440	0	91	91	91
Wed Nov 30 17:53:58 2011	1322704438	0	91	91	91
Wed Nov 30 17:54:14 2011	1322704454	0	91	91	91
Wed Nov 30 17:54:09 2011	1322704449	0	91	91	91
Wed Nov 30 17:54:03 2011	1322704443	0	91	91	91
Wed Nov 30 17:58:34 2011	1322704714	0	91	91	91
Wed Nov 30 17:58:38 2011	1322704718	0	91	91	91
Wed Nov 30 17:58:33 2011	1322704713	0	91	91	91
Wed Nov 30 17:53:53 2011	1322704433	0	91	91	91
Wed Nov 30 17:53:54 2011	1322704434	0	91	91	91
